Location,Sample No.,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr,Reference
,IS76,Early Triassic,Dienerian,251.17,,,0.707473,Sedlacek et al. (2014)
,IS72,Early Triassic,Dienerian,251.2,,,0.707503,Sedlacek et al. (2014)
,IS69,Early Triassic,Dienerian,251.22,,,0.707489,Sedlacek et al. (2014)
,IS67,Early Triassic,Dienerian,251.25,,,0.707468,Sedlacek et al. (2014)
,IS65,Early Triassic,Dienerian,251.27,,,0.707484,Sedlacek et al. (2014)
,IS64,Early Triassic,Dienerian,251.27,,,0.707501,Sedlacek et al. (2014)
,IS63,Early Triassic,Dienerian,251.28,,,0.707513,Sedlacek et al. (2014)
,IS62,Early Triassic,Dienerian,251.28,,,0.707498,Sedlacek et al. (2014)
,IS61,Early Triassic,Dienerian,251.29,,,0.707501,Sedlacek et al. (2014)
,IZ60,Early Triassic,Dienerian,251.3,,,0.707549,Sedlacek et al. (2014)
,IZ47,Early Triassic,Dienerian,251.3,,,0.707459,Sedlacek et al. (2014)
,IZ44,Early Triassic,Dienerian,251.33,,,0.707539,Sedlacek et al. (2014)
,IZ43,Early Triassic,Dienerian,251.33,,,0.707467,Sedlacek et al. (2014)
,IZ39,Early Triassic,Dienerian,251.43,,,0.707427,Sedlacek et al. (2014)
,IZ35,Early Triassic,Dienerian,251.46,,,0.707397,Sedlacek et al. (2014)
,IZ34,Early Triassic,Dienerian,251.47,,,0.707451,Sedlacek et al. (2014)
,IZ32 ,Early Triassic,Dienerian,251.49,,,0.707479,Sedlacek et al. (2014)
,IZ29,Early Triassic,Dienerian,251.58,,,0.707447,Sedlacek et al. (2014)
,IZ28,Early Triassic,Dienerian,251.59,,,0.707396,Sedlacek et al. (2014)
,IZ27,Early Triassic,Dienerian,251.6,,,0.707386,Sedlacek et al. (2014)
,IZ26 ,Early Triassic,Dienerian,251.61,,,0.707358,Sedlacek et al. (2014)
,IZ25,Early Triassic,Dienerian,251.62,,,0.707366,Sedlacek et al. (2014)
,IZ24,Early Triassic,Dienerian,251.63,,,0.707401,Sedlacek et al. (2014)
,IZ21,Early Triassic,Dienerian,251.67,,,0.707413,Sedlacek et al. (2014)
,IZ20,Early Triassic,Griesbachian,251.69,,,0.707594,Sedlacek et al. (2014)
,IZ18 ,Early Triassic,Griesbachian,251.73,,,0.707265,Sedlacek et al. (2014)
,IZ14,Late Permian ,Griesbachian,251.99,,,0.707645,Sedlacek et al. (2014)
,IZ11,Late Permian ,Griesbachian,252.05,,,0.7072,Sedlacek et al. (2014)
,IZ10,Late Permian ,Griesbachian,252.07,,,0.707153,Sedlacek et al. (2014)
,IZ8 ,Late Permian ,Griesbachian,252.11,,,0.707217,Sedlacek et al. (2014)
,IZ6,Late Permian ,Griesbachian,252.15,,,0.70722,Sedlacek et al. (2014)
,IZ4,Late Permian ,Changhsingian,252.19,,,0.707212,Sedlacek et al. (2014)
,IZ3,Late Permian ,Changhsingian,252.21,,,0.707166,Sedlacek et al. (2014)
,IZ2,Late Permian ,Changhsingian,252.23,,,0.707099,Sedlacek et al. (2014)
,IZ1,Late Permian ,Changhsingian,252.25,,,0.707072,Sedlacek et al. (2014)
Grodziec,ez 16,Late Permian ,Zechstein 1,259.2,,,0.707329,Korte et al. (2006)
Zeche Beeckerwerth,ez 36,Late Permian ,Zechstein 1,259.2,,,0.707205,Korte et al. (2006)
Schuchardt quary,ez 28,Late Permian ,Zechstein 1,259.2,,,0.707142,Korte et al. (2006)
Grodziec,ez 18,Late Permian ,Zechstein 1,259.2,,,0.707135,Korte et al. (2006)
Grodziec,ez 4,Late Permian ,Zechstein 1,259.2,,,0.707108,Korte et al. (2006)
"Koscielna, Wegliniec",ez 10,Late Permian ,Zechstein 1,259.2,,,0.7071,Korte et al. (2006)
Zeche Beeckerwerth II,ez 9,Late Permian ,Zechstein 1,259.2,,,0.707093,Korte et al. (2006)
Grodziec,ez 17,Late Permian ,Zechstein 1,259.2,,,0.70707,Korte et al. (2006)
Schuchardt quary,ez 32,Late Permian ,Zechstein 1,259.2,,,0.707047,Korte et al. (2006)
Gerlach quary,ez 19,Late Permian ,Zechstein 1,259.2,,,0.707046,Korte et al. (2006)
Gerlach quary,ez 3,Late Permian ,Zechstein 1,259.2,,,0.707046,Korte et al. (2006)
Schuchardt quary,ez 33,Late Permian ,Zechstein 1,259.2,,,0.707044,Korte et al. (2006)
Schuchardt quary,ez 30,Late Permian ,Zechstein 1,259.2,,,0.70703,Korte et al. (2006)
Iwiny Grube Konrad,ez 6,Late Permian ,Zechstein 1,259.2,,,0.707017,Korte et al. (2006)
Schalhof,ez 25,Late Permian ,Zechstein 1,259.2,,,0.707008,Korte et al. (2006)
"Koscielna, Wegliniec",ez 8,Late Permian ,Zechstein 1,259.2,,,0.706999,Korte et al. (2006)
Budinger Tunnel,ez 2,Late Permian ,Zechstein 1,259.2,,,0.706983,Korte et al. (2006)
Zeche Beeckerwerth II,ez 1,Late Permian ,Zechstein 1,259.2,,,0.706974,Korte et al. (2006)
Jolfa,J B-1,Late Permian ,Dzhulfian,257.74,,Clarkina leveni,0.706923,Korte et al. (2006)
Jolfa,J B-2,Late Permian ,Dzhulfian,257.41,,Clarkina leveni,0.70697,Korte et al. (2006)
Jolfa,J B-5,Late Permian ,Dzhulfian,257.04,,Clarkina leveni,0.70701,Korte et al. (2006)
Jolfa,J 37,Late Permian ,Dzhulfian,256.82,,Clarkina leveni,0.707006,Korte et al. (2006)
Jolfa,J B-9,Late Permian ,Dzhulfian,256.32,,Clarkina leveni,0.70699,Korte et al. (2006)
Jolfa,J B-10,Late Permian ,Dzhulfian,256.2,,Clarkina leveni,0.706945,Korte et al. (2006)
Zhongliang (Chongquing),ch 79,Late Permian ,,253.77,,,0.707012,Korte et al. (2006)
Meishan D,ch 52,Late Permian ,,253.1,,Clarkina subcarinata s.l.,0.70706,Korte et al. (2006)
Meishan D,ch 67,Late Permian ,,253.1,,Clarkina subcarinata s.l.,0.707017,Korte et al. (2006)
Jolfa,J 81-A,Late Permian ,Dorashamian (Changxingian),252.82,,,0.70705,Korte et al. (2006)
Meishan D,ch 51,Late Permian ,Changxingian,252.56,,C. changxingensis - C. deflecta s.l.,0.707125,Korte et al. (2006)
