Sample,Country,Formation,Section,Elevation (m),Period,Age,CIA,WIP,CIAcorr.,References,Shuiyuguan section,Dalongkou section
DLK-25-3b,Xinjiang,Guodikeng,Dalongkou section,20.88,Early Triassic,Griesbachian,69,47,76,"Xu et al., 2023",,20.88
DLK-25-3,Xinjiang,Guodikeng,Dalongkou section,19.78,Early Triassic,Griesbachian,65,48,69,"Xu et al., 2023",,19.78
DLK-25-2,Xinjiang,Guodikeng,Dalongkou section,18.88,Early Triassic,Griesbachian,58,58,59,"Xu et al., 2023",,18.88
DLK-25-1,Xinjiang,Guodikeng,Dalongkou section,18.38,Early Triassic,Griesbachian,57,57,58,"Xu et al., 2023",,18.38
DLK-24-9,Xinjiang,Guodikeng,Dalongkou section,18.14,Early Triassic,Griesbachian,70,44,75,"Xu et al., 2023",,18.14
DLK-24-8,Xinjiang,Guodikeng,Dalongkou section,17.54,Late Permian,Changhsingian,68,47,73,"Xu et al., 2023",,17.54
DLK-24-7,Xinjiang,Guodikeng,Dalongkou section,16.84,Late Permian,Changhsingian,68,47,73,"Xu et al., 2023",,16.84
DLK-24-6,Xinjiang,Guodikeng,Dalongkou section,16.54,Late Permian,Changhsingian,70,43,76,"Xu et al., 2023",,16.54
DLK-24-5,Xinjiang,Guodikeng,Dalongkou section,15.49,Late Permian,Changhsingian,66,48,70,"Xu et al., 2023",,15.49
DLK-24-4,Xinjiang,Guodikeng,Dalongkou section,15.07,Late Permian,Changhsingian,67,45,72,"Xu et al., 2023",,15.07
DLK-24-3,Xinjiang,Guodikeng,Dalongkou section,14.44,Late Permian,Changhsingian,69,42,75,"Xu et al., 2023",,14.44
DLK-24-2,Xinjiang,Guodikeng,Dalongkou section,13.69,Late Permian,Changhsingian,65,47,68,"Xu et al., 2023",,13.69
DLK-24-1,Xinjiang,Guodikeng,Dalongkou section,12.7,Late Permian,Changhsingian,68,48,71,"Xu et al., 2023",,12.7
