Location,Sample No.,Period,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr ,Reference,"Song et al., 2015",
Meishan ,Meishan-19,Permian,Late Permian ,Changhsingian ,252.8,,Clarkina changxingensis ,0.70709,"Song et al., 2015",0.70709,
Meishan ,Meishan-18,Permian,Late Permian ,Changhsingian ,252.87,,Clarkina changxingensis ,0.70694,"Song et al., 2015",0.70694,
Meishan ,Meishan-17,Permian,Late Permian ,Changhsingian ,252.94,,Clarkina changxingensis ,0.70711,"Song et al., 2015",0.70711,
Meishan ,Meishan-16,Permian,Late Permian ,Changhsingian ,253.01,,Clarkina changxingensis ,0.70711,"Song et al., 2015",0.70711,
Meishan ,Meishan-15,Permian,Late Permian ,Changhsingian ,253.08,,Clarkina changxingensis ,0.70716,"Song et al., 2015",0.70716,
Meishan ,Meishan-13,Permian,Late Permian ,Changhsingian ,253.24,,Clarkina changxingensis ,0.70711,"Song et al., 2015",0.70711,
Meishan ,Meishan-11,Permian,Late Permian ,Changhsingian ,253.4,,Clarkina changxingensis ,0.70711,"Song et al., 2015",0.70711,
Meishan ,Meishan-10,Permian,Late Permian ,Changhsingian ,253.47,,Clarkina changxingensis ,0.70705,"Song et al., 2015",0.70705,
Meishan ,Meishan-8,Permian,Late Permian ,Changhsingian ,253.63,,Clarkina changxingensis ,0.70716,"Song et al., 2015",0.70716,
Meishan ,Meishan-7,Permian,Late Permian ,Changhsingian ,253.7,,Clarkina changxingensis ,0.70706,"Song et al., 2015",0.70706,
Meishan ,Meishan-6,Permian,Late Permian ,Changhsingian ,253.77,,Clarkina changxingensis ,0.7071,"Song et al., 2015",0.7071,
Meishan ,Meishan-5,Permian,Late Permian ,Changhsingian ,253.84,,Clarkina changxingensis ,0.70695,"Song et al., 2015",0.70695,
Meishan ,Meishan-4,Permian,Late Permian ,Changhsingian ,253.91,,Clarkina wangi ,0.70714,"Song et al., 2015",0.70714,
Meishan ,Meishan-3,Permian,Late Permian ,Changhsingian ,253.98,,Clarkina wangi ,0.70694,"Song et al., 2015",0.70694,
Meishan ,Meishan-2,Permian,Late Permian ,Changhsingian ,254.05,,Clarkina wangi ,0.70719,"Song et al., 2015",0.70719,
Meishan ,Meishan-1,Permian,Late Permian ,Changhsingian ,254.14,,Clarkina wangi ,0.70718,"Song et al., 2015",0.70718,
,IZ153a,Triassic,Early Triassic,Spathian,247.28,,,0.7081,"Sedlacek et al., 2014",0.7081,
,IZ145,Triassic,Early Triassic,Spathian,247.95,,,0.708128,"Sedlacek et al., 2014",0.708128,
,IZ132,Triassic,Early Triassic,Spathian,249.5,,,0.70801,"Sedlacek et al., 2014",0.70801,
,IZ131,Triassic,Early Triassic,Spathian,249.66,,,0.707982,"Sedlacek et al., 2014",0.707982,
,IZ122,Triassic,Early Triassic,Spathian,250.66,,,0.707878,"Sedlacek et al., 2014",0.707878,
,IZ120,Triassic,Early Triassic,Smithian,250.68,,,0.707871,"Sedlacek et al., 2014",0.707871,
,IZ113,Triassic,Early Triassic,Smithian,250.77,,,0.707862,"Sedlacek et al., 2014",0.707862,
,IZ111,Triassic,Early Triassic,Smithian,250.81,,,0.707724,"Sedlacek et al., 2014",0.707724,
,IZ108,Triassic,Early Triassic,Smithian,250.85,,,0.707707,"Sedlacek et al., 2014",0.707707,
,IZ104,Triassic,Early Triassic,Smithian,250.91,,,0.707681,"Sedlacek et al., 2014",0.707681,
,IZ100,Triassic,Early Triassic,Smithian,250.95,,,0.707737,"Sedlacek et al., 2014",0.707737,
