Sample,Country,Formation,Section,Elevation,Period,Time,Age,CIA,WIP,CIAcorr.,References
DLK-14-4,Xinjiang,Guodikeng,Dalongkou,-21.09,Late Permian,Permian,Changhsingian,68,41,72,"Xu et al., 2023"
DLK-14-3,Xinjiang,Guodikeng,Dalongkou,-22.19,Late Permian,Permian,Changhsingian,64,52,68,"Xu et al., 2023"
DLK-14-2,Xinjiang,Guodikeng,Dalongkou,-24.34,Late Permian,Permian,Changhsingian,65,46,68,"Xu et al., 2023"
DLK-14-1,Xinjiang,Guodikeng,Dalongkou,-25.19,Late Permian,Permian,Changhsingian,70,44,73,"Xu et al., 2023"
DLK-13-2,Xinjiang,Guodikeng,Dalongkou,-27.08,Late Permian,Permian,Changhsingian,68,45,73,"Xu et al., 2023"
DLK-13-1,Xinjiang,Guodikeng,Dalongkou,-29.1,Late Permian,Permian,Changhsingian,65,50,70,"Xu et al., 2023"
DLK-12-2,Xinjiang,Guodikeng,Dalongkou,-30.73,Late Permian,Permian,Changhsingian,64,49,68,"Xu et al., 2023"
DLK-12-1,Xinjiang,Guodikeng,Dalongkou,-32.53,Late Permian,Permian,Changhsingian,65,44,70,"Xu et al., 2023"
DLK-11-2,Xinjiang,Guodikeng,Dalongkou,-34.09,Late Permian,Permian,Changhsingian,72,42,79,"Xu et al., 2023"
DLK-11-1,Xinjiang,Guodikeng,Dalongkou,-35.69,Late Permian,Permian,Changhsingian,72,41,81,"Xu et al., 2023"
DLK-10-1,Xinjiang,Guodikeng,Dalongkou,-37,Late Permian,Permian,Changhsingian,71,45,75,"Xu et al., 2023"
DLK-8-1,Xinjiang,Guodikeng,Dalongkou,-40.8,Late Permian,Permian,Changhsingian,65,47,67,"Xu et al., 2023"
DLK-7-3,Xinjiang,Guodikeng,Dalongkou,-42,Late Permian,Permian,Changhsingian,64,47,66,"Xu et al., 2023"
DLK-7-2,Xinjiang,Guodikeng,Dalongkou,-44,Late Permian,Permian,Changhsingian,70,39,76,"Xu et al., 2023"
DLK-7-1,Xinjiang,Guodikeng,Dalongkou,-46,Late Permian,Permian,Changhsingian,73,40,81,"Xu et al., 2023"
XJDN-P3w 2,Xinjiang,Wutonggou,Dalongkou,-72,Late Permian,Permian,Wuchiapingian,79,35,84,"Xu et al., 2023"
XJDN-P3w 3,Xinjiang,Wutonggou,Dalongkou,-75,Late Permian,Permian,Wuchiapingian,76,35,82,"Xu et al., 2023"
XJDN-P3w 4,Xinjiang,Wutonggou,Dalongkou,-78,Late Permian,Permian,Wuchiapingian,69,46,74,"Xu et al., 2023"
XJDN-WTG-0,Xinjiang,Wutonggou,Dalongkou,-101,Late Permian,Permian,Wuchiapingian,71,43,75,"Xu et al., 2023"
XJDN-WTG-1,Xinjiang,Wutonggou,Dalongkou,-131,Late Permian,Permian,Wuchiapingian,77,34,82,"Xu et al., 2023"
XJDN-WTG-2,Xinjiang,Wutonggou,Dalongkou,-151,Late Permian,Permian,Wuchiapingian,78,35,83,"Xu et al., 2023"
XJDN-WTG-3,Xinjiang,Wutonggou,Dalongkou,-191,Late Permian,Permian,Wuchiapingian,74,39,79,"Xu et al., 2023"
,,,,,,Modern,,,,75,
