Sample,Country,Location,Section,Elevation,Period,Age,Ca,Reference,"Payne etal., 2010","Silva-Tamayo et al., 2018",Dajiang section,Saiq Plateau section,Ta_kent section,Tesero Road section
4-ac,Northern Italy,Tesero,Tesero Road section,17.3,Late Permian,Changsingian,0.23,"Silva-Tamayo et al., 2018",,0.23,,,,17.3
5-u,Northern Italy,Tesero,Tesero Road section,25,Early Triassic,Griesbachian,0.23,"Silva-Tamayo et al., 2018",,0.23,,,,25
5-x,Northern Italy,Tesero,Tesero Road section,26.45,Early Triassic,Griesbachian,0.23,"Silva-Tamayo et al., 2018",,0.23,,,,26.5
5-z,Northern Italy,Tesero,Tesero Road section,29.5,Early Triassic,Griesbachian,0.13,"Silva-Tamayo et al., 2018",,0.13,,,,29.5
5-p,Northern Italy,Tesero,Tesero Road section,44.7,Early Triassic,Griesbachian,0.2,"Silva-Tamayo et al., 2018",,0.2,,,,44.7
5-a,Northern Italy,Tesero,Tesero Road section,90,Early Triassic,Dinerian,-0.07,"Silva-Tamayo et al., 2018",,-0.07,,,,90
5-h,Northern Italy,Tesero,Tesero Road section,106,Early Triassic,Dinerian,-0.07,"Silva-Tamayo et al., 2018",,-0.07,,,,106
4-ae,Northern Italy,Tesero,Tesero Road section,18.6,Late Permian,Changsingian,-0.01,"Silva-Tamayo et al., 2018",,-0.01,,,,18.6
4-af,Northern Italy,Tesero,Tesero Road section,18.9,Late Permian,Changsingian,0.23,"Silva-Tamayo et al., 2018",,0.23,,,,18.9
4-ah,Northern Italy,Tesero,Tesero Road section,20.3,Late Permian,Changsingian,0.03,"Silva-Tamayo et al., 2018",,0.03,,,,20.3
4-am,Northern Italy,Tesero,Tesero Road section,22.65,Late Permian,Changsingian,0.23,"Silva-Tamayo et al., 2018",,0.23,,,,22.7
4-an,Northern Italy,Tesero,Tesero Road section,22.9,Late Permian,Changsingian,-0.07,"Silva-Tamayo et al., 2018",,-0.07,,,,22.9
4-ao,Northern Italy,Tesero,Tesero Road section,23.25,Late Permian,Changsingian,0.13,"Silva-Tamayo et al., 2018",,0.13,,,,23.3
4-ap,Northern Italy,Tesero,Tesero Road section,23.7,Late Permian,Changsingian,-0.07,"Silva-Tamayo et al., 2018",,-0.07,,,,23.7
